Filename,Total cp genome size (bp),Length of inverted repeat region (bp),Length of large single copy region (bp),Length of small single copy region (bp),Total GC content (%),GC content of LSC (%),GC content of IR (%),GC content of SSC (%),Coding size (bp),Nocoding size (bp),Total number of genes,Number of protein encoding genes,Number of tRNA genes,Number of rRNA genes,Number of genes duplicated in IR,Organism,Assembly Name
PP998025.gb,159801,31045,79526,18185,37.97,36.31,38.09,31.37,80876,78925,111,78,29,4,0,Clematis nannophylla,20170058
PP998026.gb,159795,31045,79516,18189,37.96,36.30,38.08,31.34,80858,78937,111,78,29,4,0,Clematis nannophylla,HJBY-2019072706
PP998027.gb,159801,31045,79526,18185,37.97,36.31,38.09,31.37,80876,78925,111,78,29,4,0,Clematis nannophylla,HJJZ-2019080104
PP998028.gb,159739,31045,79489,18160,37.98,36.31,38.12,31.42,80864,78875,111,78,29,4,0,Clematis nannophylla,HJwd04
PP998029.gb,159739,31045,79489,18160,37.98,36.31,38.12,31.42,80864,78875,111,78,29,4,0,Clematis nannophylla,HJWD-2019060609
PP998030.gb,159758,31045,79488,18180,37.97,36.31,38.10,31.40,80864,78894,111,78,29,4,0,Clematis nannophylla,HJZQBL03
PP998031.gb,159758,31045,79488,18180,37.98,36.31,38.10,31.40,80864,78894,111,78,29,4,0,Clematis nannophylla,HJZQBL05
PP998032.gb,159637,31039,79442,18117,37.97,36.31,38.06,31.25,80867,78770,111,78,29,4,0,Clematis alpina subsp. sibirica,2019051801
PP998033.gb,159664,31074,79486,18030,38.00,36.35,38.13,31.44,80861,78803,111,78,29,4,0,Clematis puberula,201908
PP998034.gb,159500,31040,79318,18102,38.00,36.35,38.11,31.36,81016,78484,111,78,29,4,0,Clematis quinquefoliolata,20191120-01
PP998035.gb,159758,31061,79489,18147,37.95,36.32,38.02,31.21,80828,78930,111,78,29,4,0,Clematis repens,2018041104
PP998036.gb,159284,31046,79132,18060,37.98,36.33,38.10,31.35,81001,78283,111,78,29,4,0,Clematis reticulata,LRD21
PP998037.gb,159584,31042,79475,18025,37.95,36.28,38.10,31.37,80751,78833,111,78,29,4,0,Clematis songarica,HJHM-2019082606
PP998038.gb,159829,31045,79528,18211,37.96,36.30,38.08,31.34,80876,78953,111,78,29,4,0,Clematis songorica,20170726
PP998039.gb,159590,31042,79476,18030,37.95,36.28,38.09,31.35,80751,78839,111,78,29,4,0,Clematis songorica,HJALT-2019082103
PP998040.gb,159587,31045,79397,18100,37.96,36.29,38.07,31.27,80870,78717,111,78,29,4,0,Clematis tangutica,2018070414
PP998041.gb,159607,31045,79430,18087,37.96,36.29,38.08,31.28,80864,78743,111,78,29,4,0,Clematis tangutica,HJYC-2019080902
PP998042.gb,159494,31040,79317,18097,38.00,36.35,38.11,31.37,81016,78478,111,78,29,4,0,Clematis terniflora,20191120-02
PP998043.gb,159818,31045,79540,18188,37.96,36.29,38.10,31.38,80876,78942,111,78,29,4,0,Clematis tomentella,HJBJT-2019081808
PP998044.gb,159778,31045,79511,18177,37.98,36.31,38.11,31.40,80876,78902,111,78,29,4,0,Clematis tomentella,HJJYG-2019080403
PP998045.gb,159847,31046,79525,18230,37.96,36.31,38.06,31.31,80858,78989,111,78,29,4,0,Clematis viridis,20170002
PP998046.gb,159809,31043,79534,18189,37.97,36.31,38.08,31.34,80864,78945,111,78,29,4,0,Clematis viridis,2018071005
PP998047.gb,159824,31046,79517,18215,37.97,36.32,38.08,31.35,80858,78966,111,78,29,4,0,Clematis viridis,HJJD-2018070607
